Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue,Total_kids
43974,19,378,0,101,0,0,72,5,6,4,6,7,3,11,1
50785,27,64,1,21,0,1,27,2,2,1,3,6,3,11,2
90765,25,547,99,812,151,82,33,0,4,6,5,1,3,11,0
36550,74,47,90,94,123,103,120,5,9,1,5,9,3,11,1
30753,85,12,5,25,0,9,30,2,1,1,3,5,3,11,2
21918,37,1,6,7,11,5,3,2,2,0,3,6,3,11,1
56129,65,320,48,133,39,72,48,4,6,2,10,4,3,11,1
32557,13,34,3,29,0,4,10,3,2,1,3,5,3,11,1
19510,63,9,0,7,3,4,7,2,1,0,3,7,3,11,2
30992,83,17,0,14,7,3,2,1,1,0,3,7,3,11,1
101970,69,722,27,102,44,72,168,0,6,8,13,2,3,11,0
71488,87,162,33,124,40,28,172,2,3,4,7,1,3,11,0
79607,37,450,133,951,173,0,216,1,3,6,6,1,3,11,0
54348,51,70,0,16,0,0,4,2,2,0,4,6,3,11,2
77376,72,492,19,110,16,12,12,4,6,3,10,4,3,11,2
62998,10,120,58,73,65,89,58,5,5,4,5,5,3,11,1
61331,42,534,5,47,0,5,41,5,11,1,6,8,3,11,2
73448,10,236,106,189,23,41,130,1,7,2,9,4,3,11,0
41551,51,220,0,33,3,0,23,5,5,1,5,8,3,11,2
62981,21,796,14,590,38,44,0,1,4,5,13,3,3,11,0
9548,31,0,1,3,10,6,9,2,1,0,3,8,3,11,1
33762,61,53,1,34,2,0,16,3,2,2,2,8,3,11,3
35860,37,15,0,8,4,2,20,2,1,1,2,5,3,11,2
36921,74,17,1,12,3,1,4,2,2,0,3,7,3,11,2
92859,46,962,61,921,52,61,20,1,5,4,12,2,3,11,0
65104,4,738,0,232,13,20,50,2,3,5,7,7,3,11,1
86111,73,399,28,756,36,40,126,1,5,7,10,2,3,11,0
68352,47,614,16,132,43,33,33,3,8,5,9,6,3,11,1
41883,13,32,34,41,73,16,116,3,4,2,3,7,3,11,1
59809,36,598,16,141,32,41,49,3,3,3,6,8,3,11,2
23957,47,2,1,18,20,11,16,1,2,0,3,6,3,11,1
38547,49,6,1,10,0,1,4,1,1,0,2,8,3,11,1
35688,94,73,3,90,12,1,32,7,4,1,4,8,3,11,3
49605,65,42,16,29,12,20,8,1,2,1,4,3,3,11,0
59354,59,295,21,78,39,13,13,1,4,4,7,3,3,11,2
65747,96,346,17,48,23,13,13,4,8,1,6,6,3,11,1
46344,28,233,20,57,8,20,91,4,7,1,5,7,3,11,1
34176,12,5,7,24,19,14,20,4,3,0,4,6,3,11,1
61010,57,888,0,57,0,0,76,2,8,5,11,5,3,11,1
69372,10,997,26,269,34,13,42,1,10,4,6,4,3,11,0
49967,4,212,6,69,4,12,3,3,6,1,5,7,3,11,1
60199,49,8,1,7,2,0,0,1,0,0,3,4,3,11,3
55375,3,42,11,57,10,28,14,1,1,1,6,2,3,11,1
80317,64,536,11,387,149,91,57,1,3,4,10,1,3,11,0
30523,0,5,0,3,0,0,5,1,1,0,2,7,3,11,3
70356,20,1349,16,249,43,16,33,2,10,6,9,6,3,11,0
23228,91,53,3,49,7,4,5,4,3,0,4,8,3,11,1
74165,9,1001,12,240,16,12,12,1,5,4,10,2,3,11,0
157243,98,20,2,1582,1,2,1,15,0,22,0,0,3,11,1
43482,83,18,1,32,6,3,28,3,2,0,4,6,3,11,3
62551,27,125,16,98,134,21,27,1,6,7,4,3,3,11,0
52332,63,212,5,33,7,0,2,1,3,2,6,4,3,11,0
66951,46,277,162,305,173,76,124,1,3,4,7,1,3,11,0
26091,84,15,10,19,8,17,20,3,2,1,3,5,3,11,2
33456,58,7,3,10,8,1,7,2,1,0,3,7,3,11,2
28718,78,12,4,6,11,8,16,2,2,0,3,8,3,11,1
50447,4,85,7,24,2,3,27,1,3,1,3,6,3,11,2
53537,17,81,0,6,0,0,6,2,2,1,3,5,3,11,2
52074,77,59,0,12,0,0,48,1,2,2,2,4,3,11,1
80427,56,1149,71,449,69,71,26,1,11,8,8,5,3,11,1
83837,79,847,66,119,86,89,111,1,9,10,5,4,3,11,0
38853,90,29,0,14,0,0,2,2,2,0,3,7,3,11,2
38285,96,2,0,5,2,0,1,1,0,0,3,2,3,11,3
78497,44,207,26,447,75,0,223,1,5,7,12,2,3,11,0
51650,81,152,3,22,2,5,7,1,4,1,4,5,3,11,1
16248,77,12,11,10,3,12,9,3,2,1,3,6,3,11,1
66835,21,620,26,195,34,17,141,1,6,4,13,2,3,11,0
30477,16,47,1,6,0,0,12,1,1,1,3,6,3,11,1
28249,80,1,9,7,2,14,10,1,2,0,3,6,3,11,0
25271,45,10,1,18,10,4,7,1,1,1,2,9,3,11,1
32303,63,35,0,2,0,0,2,2,1,0,4,5,3,11,1
61286,34,356,0,107,19,9,117,2,7,1,8,5,3,11,1
74068,14,783,30,537,140,76,15,1,4,10,9,2,3,11,0
45759,13,42,1,18,3,0,4,2,2,0,3,7,3,11,2
24882,52,1,4,10,29,0,36,1,1,1,2,6,3,11,1
66973,98,466,22,432,147,113,102,1,8,7,12,3,3,11,0
36640,99,15,6,8,7,4,25,1,2,1,2,5,3,11,1
38872,93,23,3,21,3,19,22,2,3,0,3,8,3,11,1
51148,38,235,6,45,8,9,12,4,5,1,6,6,3,11,2
31353,24,10,0,10,3,1,7,2,1,1,2,8,3,11,2
69661,80,656,16,106,32,16,8,1,7,3,12,3,3,11,0
80067,82,519,17,813,27,173,51,1,4,6,6,2,3,11,0
86718,20,344,189,482,50,33,172,1,5,6,5,2,3,11,0
46854,81,96,1,79,7,1,79,6,5,1,3,8,3,11,2
69142,50,448,4,34,6,4,39,3,8,1,7,5,3,11,1
75922,60,265,138,553,224,23,92,1,4,4,9,1,3,11,0
63693,63,587,43,337,42,87,54,3,11,6,9,6,3,11,1
102160,54,763,29,138,76,176,58,0,7,9,10,4,3,11,0
40637,72,22,0,13,0,0,3,2,1,0,3,7,3,11,2
18890,5,6,4,1,7,2,15,1,0,1,2,6,3,11,0
29604,88,7,6,13,7,6,14,1,1,0,3,9,3,11,1
48721,50,81,18,113,47,13,21,6,4,2,5,6,3,11,2
44794,99,54,0,7,0,0,4,1,2,0,3,6,3,11,1
64497,17,1170,48,320,42,32,192,5,11,4,9,8,3,11,1
46097,11,72,24,68,65,4,8,5,3,1,6,4,3,11,1
77972,18,613,22,319,33,102,12,1,4,6,9,1,3,11,0
44377,70,224,0,30,0,0,10,8,5,1,5,8,3,11,2
46014,21,410,0,59,19,9,44,10,7,1,8,7,3,11,2
70951,66,239,10,554,254,87,54,1,3,4,9,1,3,11,0
41443,79,171,7,171,25,19,89,6,8,1,5,8,3,11,1
52195,2,12,0,4,0,0,1,1,1,0,2,8,3,11,3
83790,81,1076,16,417,42,48,16,1,8,10,6,3,3,11,0
44551,24,182,4,33,0,0,66,2,4,1,5,7,3,11,1
69508,48,824,32,162,42,32,43,2,11,4,11,6,3,11,1
45204,93,30,11,25,29,1,18,1,1,1,4,3,3,11,1
72460,56,377,10,540,80,30,10,1,3,5,7,1,3,11,0
77622,3,520,7,154,19,0,14,2,6,3,11,3,3,11,2
30732,44,155,1,25,0,1,3,4,4,1,4,8,3,11,1
63887,38,897,23,207,15,11,92,5,9,6,12,6,3,11,1
42011,46,131,0,16,2,1,39,4,3,1,4,8,3,11,1
51369,84,297,7,79,0,11,182,2,8,2,4,8,3,11,1
51537,27,787,20,204,0,0,92,3,2,2,11,8,3,11,1
79930,72,792,86,740,67,51,17,1,3,5,8,2,3,11,0
34320,66,4,1,9,3,0,0,1,1,0,2,8,3,11,1
37070,30,231,7,137,4,15,39,9,5,1,8,7,3,11,2
81975,2,983,76,184,180,138,27,1,6,3,4,7,3,11,1
38590,65,3,1,8,4,3,3,1,1,0,2,8,3,11,1
15033,37,0,4,5,6,0,4,1,1,0,3,3,3,11,0
62745,89,562,21,464,28,10,32,3,7,8,11,5,3,11,1
22212,49,5,9,20,6,8,21,2,2,0,4,6,3,11,1
23661,46,18,0,4,0,0,1,1,1,0,3,7,3,11,1
79761,32,415,5,124,15,35,11,1,5,2,11,3,3,11,1
7500,54,5,3,10,12,7,20,4,3,1,3,7,3,11,1
60182,23,8,0,5,7,0,2,1,1,0,2,4,3,11,1
73455,98,901,61,757,186,163,20,1,6,5,10,3,3,11,0
64961,97,382,114,276,75,124,38,2,6,4,4,3,3,11,1
22804,75,14,1,7,2,1,1,1,2,0,2,9,3,11,1
73687,8,559,153,503,218,13,181,1,3,9,9,2,3,11,0
61074,37,789,0,133,0,28,152,7,11,5,8,7,3,11,1
31686,31,11,0,5,0,0,1,2,1,0,3,6,3,11,2
80134,40,1218,16,272,104,0,80,2,5,3,6,6,3,11,1
75027,74,925,64,179,133,12,77,2,9,4,6,5,3,11,1
67546,90,864,134,768,150,38,172,1,4,10,5,3,3,11,0
65176,57,960,28,183,220,70,70,4,9,6,6,6,3,11,1
31160,59,16,3,25,6,1,13,2,2,0,3,8,3,11,1
29938,52,3,3,7,0,2,11,2,1,0,3,6,3,11,1
102692,5,168,148,444,32,172,148,1,6,9,13,2,3,11,0
26490,92,45,47,52,21,20,25,2,3,1,5,6,3,11,0
75702,77,650,28,353,45,42,30,5,4,6,11,8,3,11,2
30899,35,24,0,8,0,0,1,2,1,0,3,6,3,11,1
63342,48,918,21,118,13,10,21,3,8,3,5,6,3,11,1
45989,97,138,33,87,28,24,12,4,3,2,7,3,3,11,1
18701,95,12,4,2,10,6,10,4,2,0,4,5,3,11,2
40737,24,11,0,4,0,0,2,1,1,0,2,8,3,11,3
15287,60,1,2,8,4,3,13,2,1,1,2,7,3,11,1
69674,46,554,41,215,11,0,24,3,10,2,10,5,3,11,2
44159,85,167,2,62,24,13,7,4,4,1,6,5,3,11,1
37717,31,9,0,6,4,1,5,1,1,0,2,9,3,11,1
43776,9,177,2,71,3,2,20,6,5,2,4,8,3,11,2
38179,30,38,4,22,4,2,20,4,3,1,3,7,3,11,2
80124,47,483,84,398,205,84,241,1,3,7,8,1,3,11,0
38097,70,77,2,35,0,1,69,4,3,2,2,7,3,11,2
72940,13,182,74,298,162,149,116,1,3,3,6,1,3,11,0
22070,11,10,7,19,8,2,21,2,2,2,2,6,3,11,1
69267,31,778,44,499,95,73,146,2,3,4,5,7,3,11,0
31788,15,16,7,23,0,8,6,3,3,0,4,5,3,11,1
61905,2,167,0,43,6,2,13,2,4,2,4,5,3,11,1
29315,55,13,2,14,8,7,4,4,2,0,4,6,3,11,2
33378,38,33,6,40,3,7,10,3,2,0,4,7,3,11,2
66313,86,625,7,99,10,22,7,2,6,3,12,4,3,11,1
60714,56,216,162,224,101,92,162,2,7,4,10,5,3,11,0
77882,29,68,129,396,188,22,15,1,3,3,5,1,3,11,0
69867,30,196,0,512,33,130,54,1,3,5,8,1,3,11,0
63841,64,635,15,100,20,7,131,1,9,3,9,6,3,11,1
24480,46,4,19,9,28,25,17,3,3,0,4,7,3,11,1
51369,84,297,7,79,0,11,182,2,8,2,4,8,3,11,1
37760,20,84,5,38,150,12,28,2,4,1,6,7,3,11,0
65640,74,204,7,149,20,15,66,1,5,1,8,2,3,11,1
44319,18,26,0,8,0,0,3,2,2,0,3,5,3,11,2
30631,75,15,6,20,4,5,20,1,3,1,2,7,3,11,1
75278,17,304,98,230,150,74,74,1,6,3,13,3,3,11,0
50898,88,285,28,242,55,114,135,13,6,2,12,5,3,11,2
79946,19,395,183,565,166,141,28,1,5,11,5,3,3,11,0
35416,62,248,3,81,4,3,51,3,7,1,5,8,3,11,0
32414,11,20,6,5,0,9,12,1,1,0,3,7,3,11,0
38361,74,39,0,56,20,8,14,3,3,1,3,7,3,11,1
82497,32,777,129,573,216,21,203,1,2,7,9,4,3,11,0
16626,76,8,3,22,21,1,13,3,3,0,3,9,3,11,2
29672,6,9,1,3,0,4,8,1,0,0,3,6,3,11,2
55951,62,1241,0,80,0,13,40,3,3,6,11,8,3,11,1
35388,20,6,4,7,4,3,8,1,1,0,3,7,3,11,1
42386,43,65,4,16,0,4,11,1,3,0,3,8,3,11,1
68627,45,395,15,263,60,54,38,1,2,3,6,1,3,11,0
57912,34,801,0,80,0,0,35,5,8,3,12,5,3,11,1
35246,53,36,0,12,2,2,10,4,3,1,3,5,3,11,2
58821,44,513,14,154,19,0,28,1,9,2,9,6,3,11,1
46377,89,37,0,46,4,3,0,1,2,1,3,4,3,11,1
39747,43,80,15,93,20,13,52,3,5,1,4,8,3,11,1
23976,68,14,1,21,2,3,25,3,3,1,3,7,3,11,1
80950,44,525,147,112,219,147,63,1,6,7,9,2,3,11,0
27038,64,1,26,25,17,23,15,1,3,0,3,9,3,11,0
77457,85,675,11,400,15,45,11,1,2,5,10,1,3,11,0
64100,93,509,0,27,0,0,10,1,8,3,6,7,3,11,1
42670,12,154,2,46,20,4,15,1,4,2,4,4,3,11,0
12571,86,3,5,14,2,12,17,4,3,1,3,6,3,11,1
22574,28,25,0,8,2,0,2,2,2,0,3,7,3,11,3
70893,42,768,44,561,77,44,14,1,6,6,10,3,3,11,0
54198,13,185,0,28,3,2,17,6,3,1,6,4,3,11,2
28839,86,24,0,7,0,0,1,2,2,0,3,5,3,11,2
40321,59,44,4,21,6,0,27,2,3,0,3,7,3,11,2
66503,30,91,64,128,65,3,50,2,4,3,6,3,3,11,1
30833,33,11,0,7,3,1,6,2,1,0,3,5,3,11,2
64795,23,412,5,119,38,29,77,3,3,3,12,2,3,11,1
34421,81,3,3,7,6,2,9,1,1,0,2,7,3,11,1
47025,6,16,0,3,0,0,1,1,1,0,2,7,3,11,2
64325,41,731,60,353,78,12,73,5,10,3,5,7,3,11,1
40464,78,424,17,118,7,23,41,6,8,2,8,8,3,11,1
62187,49,792,0,275,45,45,126,1,4,8,5,3,3,11,0
14849,39,21,2,28,3,2,9,3,2,0,4,8,3,11,1
27255,3,22,1,11,0,1,2,1,1,0,3,7,3,11,1
54432,37,33,0,5,0,0,0,1,1,0,3,4,3,11,3
29999,22,68,7,59,10,5,11,4,3,1,4,8,3,11,1
24072,79,9,1,6,3,0,4,1,1,0,2,8,3,11,1
33996,46,40,2,15,8,0,6,1,1,1,3,4,3,11,0
66334,82,909,11,218,0,0,23,2,9,3,5,5,3,11,1
35178,10,23,1,13,2,2,18,1,1,1,2,7,3,11,1
22010,51,11,2,9,3,0,8,2,2,0,3,8,3,11,1
62204,38,317,46,247,151,46,139,1,4,5,12,3,3,11,2
75693,10,797,153,293,72,97,30,1,11,4,6,4,3,11,0
30675,14,10,2,16,11,2,21,1,1,0,3,8,3,11,1
83003,18,856,61,570,40,25,122,1,7,6,8,3,3,11,0
83532,36,755,144,562,104,64,224,1,4,6,4,1,3,11,0
68655,95,456,19,832,75,118,38,1,4,5,11,3,3,11,0
41411,11,37,32,38,11,3,18,1,2,1,4,6,3,11,0
55212,65,1103,0,45,0,0,34,3,4,2,11,8,3,11,1
59292,71,378,14,68,19,14,14,2,3,5,8,3,3,11,1
27190,13,1,6,7,0,1,3,1,1,0,2,8,3,11,1
82623,58,204,34,204,172,153,173,1,2,9,4,1,3,11,0
44300,65,30,0,9,0,0,3,2,1,0,3,6,3,11,2
84835,0,189,104,379,111,189,218,1,4,4,6,1,3,11,0
30372,33,15,0,12,7,3,7,3,2,0,3,7,3,11,2
33181,90,9,0,3,0,0,4,1,1,0,2,6,3,11,1
71113,95,495,33,255,11,33,8,4,6,7,9,4,3,11,1
71952,93,656,80,455,52,107,93,2,8,4,8,4,3,11,1
69759,38,452,20,514,13,30,0,3,4,6,5,3,3,11,0
72099,18,546,91,410,119,0,22,1,3,4,10,1,3,11,0
60000,57,1048,0,217,0,0,12,5,11,3,5,6,3,11,1
38643,45,22,2,14,0,1,10,2,2,0,3,7,3,11,2
50737,61,78,0,11,0,0,10,1,2,0,4,6,3,11,1
68462,6,561,64,785,84,128,48,1,3,3,8,1,3,11,0
65073,65,629,17,177,69,0,8,1,5,3,5,2,3,11,0
46681,52,269,15,69,15,19,38,2,4,6,4,5,3,11,2
78618,87,736,163,818,212,163,61,1,4,7,10,2,3,11,0
62187,38,512,0,83,0,0,41,3,6,2,10,4,3,11,1
28442,53,19,3,10,11,8,6,3,2,1,4,4,3,11,2
37717,31,9,0,6,4,1,5,1,1,0,2,9,3,11,1
51479,67,247,8,160,6,8,65,7,6,3,6,7,3,11,2
54803,65,404,0,92,28,27,142,2,6,2,9,4,3,11,1
79530,64,333,0,815,129,42,29,1,4,10,11,2,3,11,0
31615,82,2,3,20,6,11,9,2,2,0,3,7,3,11,1
72025,27,833,33,549,151,133,233,1,4,3,8,3,3,11,0
52614,63,789,0,142,12,9,38,2,2,4,8,8,3,11,1
35684,66,10,4,7,0,6,3,1,1,0,3,6,3,11,1
48178,69,159,4,45,6,2,38,6,5,1,4,8,3,11,2
29548,52,7,1,6,3,1,11,1,1,1,2,4,3,11,1
63810,45,977,12,253,16,12,101,4,4,3,12,8,3,11,1
38578,2,38,4,22,3,3,3,3,3,0,3,8,3,11,2
46098,86,57,0,27,0,0,36,4,3,2,2,8,3,11,2
22585,23,3,9,15,13,2,39,1,1,1,2,9,3,11,0
30279,13,10,4,14,4,4,1,1,1,0,3,8,3,11,1
66426,14,1043,24,97,32,24,157,2,3,5,10,6,3,11,1
30822,92,3,9,13,2,12,12,1,1,0,3,7,3,11,1
33581,38,11,0,5,0,0,1,1,1,0,2,8,3,11,2
19986,74,3,6,5,0,2,6,1,0,0,3,7,3,11,1
27421,14,43,12,96,78,40,55,3,4,1,6,7,3,11,0
35688,94,73,3,90,12,1,32,7,4,1,4,8,3,11,3
36143,33,12,0,1,0,0,6,1,0,1,2,3,3,11,1
10245,32,4,7,7,6,4,13,3,1,2,2,5,3,11,1
43795,11,314,11,53,4,3,107,3,7,3,4,7,3,11,1
63381,78,571,50,142,33,50,159,4,4,5,13,2,3,11,1
38823,56,70,0,11,2,8,23,1,2,1,3,6,3,11,1
83664,57,866,21,151,28,21,86,3,2,2,12,5,3,11,2
90300,7,594,134,786,33,134,57,0,5,6,8,1,3,11,0
62499,0,140,4,61,0,13,4,2,3,1,6,4,3,11,1
74293,66,375,152,335,93,91,81,1,5,4,6,2,3,11,0
51012,86,102,9,63,2,9,24,1,4,1,4,6,3,11,0
70777,80,554,35,113,0,7,78,3,5,3,12,3,3,11,1
68682,56,919,0,505,99,30,45,1,4,9,10,2,3,11,0
43824,18,96,1,42,12,3,32,4,3,1,4,8,3,11,2
15345,51,5,2,16,3,2,19,2,1,1,2,8,3,11,1
23442,71,2,0,6,8,6,5,1,1,0,3,7,3,11,1
14515,71,6,4,9,6,36,35,4,2,2,3,7,3,11,1
31395,80,23,1,25,0,8,7,4,2,1,3,6,3,11,2
75276,2,610,105,125,137,42,21,1,9,4,9,5,3,11,0
42373,83,67,5,61,3,8,19,5,2,1,5,5,3,11,2
30507,29,65,36,74,38,20,110,1,5,1,4,7,3,11,0
55521,11,416,0,26,0,0,4,9,6,3,6,7,3,11,3
48006,55,23,0,11,3,2,2,1,1,0,3,6,3,11,2
27213,19,19,3,26,10,9,3,3,2,0,4,8,3,11,1
65808,1,155,7,80,13,7,10,3,5,1,5,6,3,11,2
30351,19,14,0,24,3,3,2,1,3,0,2,9,3,11,1
50437,28,370,9,92,6,9,4,3,7,1,8,7,3,11,2
23616,76,4,22,11,3,7,32,2,3,0,3,8,3,11,1
53858,50,407,53,221,58,150,26,4,4,3,6,4,3,11,1
66465,1,1200,0,204,38,29,14,3,11,9,12,6,3,11,1
46923,90,85,44,54,102,78,6,3,5,1,7,7,3,11,1
75072,83,583,34,309,0,22,125,2,5,4,8,3,3,11,1
75865,73,483,0,591,156,0,12,1,3,5,10,1,3,11,0
19789,24,2,5,9,28,6,28,3,2,1,3,5,3,11,1
80134,11,966,26,282,52,26,26,1,2,7,11,5,3,11,0
91065,33,822,114,108,179,137,114,1,7,9,9,3,3,11,0
49505,4,604,0,100,19,0,28,9,10,2,8,8,3,11,2
37401,14,19,3,19,3,1,3,2,2,0,3,7,3,11,1
30096,30,5,3,11,12,5,9,1,2,0,3,6,3,11,1
18492,75,2,2,2,2,1,1,1,1,0,2,8,3,11,1
82584,26,1076,68,103,29,91,68,1,3,4,8,1,3,11,0
93027,77,1285,42,716,55,0,21,0,7,10,5,2,3,11,0
48686,8,10,0,7,2,0,1,1,1,0,2,8,3,11,3
92910,42,551,137,792,179,103,33,1,6,7,13,1,3,11,0
75433,28,800,0,297,0,34,57,2,2,5,10,6,3,11,1
10404,52,2,2,11,10,6,12,2,1,0,4,5,3,11,1
